month,division,line,day_type,reporting_category,subcategory,delays
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Other - Sig,5
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Other Internal Disruptions,1
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Rail and Roadbed,2
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Service Delivery,11
2025-01-01,A DIVISION,5,2,Operating Conditions,Other Operating Environment,27
2025-01-01,A DIVISION,5,2,Planned ROW Work,Subways Maintenance,14
2025-01-01,A DIVISION,5,2,Planned ROW Work,Work Equipment,3
2025-01-01,A DIVISION,5,2,Police & Medical,Persons on Roadbed,19
2025-01-01,A DIVISION,5,2,Police & Medical,"Public Conduct, Crime, Police Response",69
2025-01-01,A DIVISION,5,2,Police & Medical,Sick/Injured Customer,10
2025-01-01,A DIVISION,6,1,Crew Availability,Crew Availability,22
2025-01-01,A DIVISION,6,1,External Factors,External Debris on Roadbed,114
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Braking,53
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Door-Related,99
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,"Fire, Smoke, Debris",61
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Other - CE,25
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Other - Sig,82
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Other Infrastructure,25
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Other Internal Disruptions,6
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Propulsion,46
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Rail and Roadbed,17
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Service Delivery,24
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,29
2025-01-01,A DIVISION,6,1,Operating Conditions,Other Operating Environment,79
2025-01-01,A DIVISION,6,1,Operating Conditions,Service Management,108
2025-01-01,A DIVISION,6,1,Planned ROW Work,Capital Work - Other Planned ROW,19
2025-01-01,A DIVISION,6,1,Planned ROW Work,Subways Maintenance,193
2025-01-01,A DIVISION,6,1,Planned ROW Work,Work Equipment,16
2025-01-01,A DIVISION,6,1,Police & Medical,Persons on Roadbed,130
2025-01-01,A DIVISION,6,1,Police & Medical,"Public Conduct, Crime, Police Response",589
2025-01-01,A DIVISION,6,1,Police & Medical,Sick/Injured Customer,151
2025-01-01,A DIVISION,6,2,Crew Availability,Crew Availability,34
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Braking,23
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Door-Related,7
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Other - CE,2
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Other - Sig,10
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Rail and Roadbed,4
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Service Delivery,18
2025-01-01,A DIVISION,6,2,Operating Conditions,Other Operating Environment,48
2025-01-01,A DIVISION,6,2,Planned ROW Work,Subways Maintenance,52
2025-01-01,A DIVISION,6,2,Police & Medical,Persons on Roadbed,59
2025-01-01,A DIVISION,6,2,Police & Medical,"Public Conduct, Crime, Police Response",82
2025-01-01,A DIVISION,6,2,Police & Medical,Sick/Injured Customer,26
2025-01-01,A DIVISION,7,1,Crew Availability,Crew Availability,58
2025-01-01,A DIVISION,7,1,External Factors,External Debris on Roadbed,18
2025-01-01,A DIVISION,7,1,External Factors,Inclement Weather,6
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Braking,26
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Door-Related,113
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Other - CE,10
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Other - Sig,113
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Other Infrastructure,43
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Other Internal Disruptions,14
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Rail and Roadbed,83
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Service Delivery,11
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Signal Modernization Capital Project,2
2025-01-01,A DIVISION,7,1,Operating Conditions,Other Operating Environment,11
2025-01-01,A DIVISION,7,1,Planned ROW Work,Subways Maintenance,194
2025-01-01,A DIVISION,7,1,Planned ROW Work,Work Equipment,21
2025-01-01,A DIVISION,7,1,Police & Medical,Persons on Roadbed,79
2025-01-01,A DIVISION,7,1,Police & Medical,"Public Conduct, Crime, Police Response",110
2025-01-01,A DIVISION,7,1,Police & Medical,Sick/Injured Customer,16
2025-01-01,A DIVISION,7,2,Crew Availability,Crew Availability,15
2025-01-01,A DIVISION,7,2,External Factors,Inclement Weather,6
2025-01-01,A DIVISION,7,2,Infrastructure & Equipment,Door-Related,4
2025-01-01,A DIVISION,7,2,Infrastructure & Equipment,Other - CE,2
2025-01-01,A DIVISION,7,2,Infrastructure & Equipment,Other - Sig,9
2025-01-01,A DIVISION,7,2,Infrastructure & Equipment,Other Infrastructure,10
2025-01-01,A DIVISION,7,2,Infrastructure & Equipment,Service Delivery,4
2025-01-01,A DIVISION,7,2,Infrastructure & Equipment,Signal Modernization Capital Project,1
2025-01-01,A DIVISION,7,2,Planned ROW Work,Capital Work - Other Planned ROW,26
2025-01-01,A DIVISION,7,2,Planned ROW Work,Subways Maintenance,162
2025-01-01,A DIVISION,7,2,Planned ROW Work,Work Equipment,2
2025-01-01,A DIVISION,7,2,Police & Medical,Persons on Roadbed,25
2025-01-01,A DIVISION,7,2,Police & Medical,"Public Conduct, Crime, Police Response",22
2025-01-01,A DIVISION,GS,1,Police & Medical,"Public Conduct, Crime, Police Response",2
2025-01-01,A DIVISION,GS,2,Crew Availability,Crew Availability,3
2025-01-01,A DIVISION,GS,2,Infrastructure & Equipment,Door-Related,2
2025-01-01,A DIVISION,GS,2,Police & Medical,"Public Conduct, Crime, Police Response",5
2025-01-01,B DIVISION,A,1,Crew Availability,Crew Availability,67
2025-01-01,B DIVISION,A,1,External Factors,External Agency or Utility,67
2025-01-01,B DIVISION,A,1,External Factors,External Debris on Roadbed,16
2025-01-01,B DIVISION,A,1,External Factors,Inclement Weather,3
2025-01-01,B DIVISION,A,1,Infrastructure & Equipment,Braking,36
2025-01-01,B DIVISION,A,1,Infrastructure & Equipment,Door-Related,25
2025-01-01,B DIVISION,A,1,Infrastructure & Equipment,"Fire, Smoke, Debris",19
2025-01-01,B DIVISION,A,1,Infrastructure & Equipment,Other - CE,81
2025-01-01,B DIVISION,A,1,Infrastructure & Equipment,Other - Sig,271
2025-01-01,B DIVISION,A,1,Infrastructure & Equipment,Other Infrastructure,18
2025-01-01,B DIVISION,A,1,Infrastructure & Equipment,Propulsion,57
2025-01-01,B DIVISION,A,1,Infrastructure & Equipment,Rail and Roadbed,38
