month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2015-01-01,Brooklyn,1,LCL/LTD,B68,Off-Peak,12391,15359,0.806758252
2015-01-01,Brooklyn,1,LCL/LTD,B68,Peak,4769,6878,0.693370166
2015-01-01,Brooklyn,1,LCL/LTD,B69,Off-Peak,4201,5368,0.782600596
2015-01-01,Brooklyn,1,LCL/LTD,B69,Peak,2612,3815,0.684665793
2015-01-01,Brooklyn,1,LCL/LTD,B7,Off-Peak,7048,8678,0.812168702
2015-01-01,Brooklyn,1,LCL/LTD,B7,Peak,3000,4580,0.655021834
2015-01-01,Brooklyn,1,LCL/LTD,B70,Off-Peak,6138,7185,0.854279749
2015-01-01,Brooklyn,1,LCL/LTD,B70,Peak,2909,3784,0.768763214
2015-01-01,Brooklyn,1,LCL/LTD,B74,Off-Peak,1672,2030,0.82364532
2015-01-01,Brooklyn,1,LCL/LTD,B74,Peak,968,1292,0.749226006
2015-01-01,Brooklyn,1,LCL/LTD,B8,Off-Peak,14218,17671,0.804595099
2015-01-01,Brooklyn,1,LCL/LTD,B8,Peak,5645,8126,0.694683731
2015-01-01,Brooklyn,1,LCL/LTD,B82,Off-Peak,15249,19408,0.785706925
2015-01-01,Brooklyn,1,LCL/LTD,B82,Peak,5210,7726,0.674346363
2015-01-01,Brooklyn,1,LCL/LTD,B83,Off-Peak,9432,11894,0.793004876
2015-01-01,Brooklyn,1,LCL/LTD,B83,Peak,4158,6145,0.676647681
2015-01-01,Brooklyn,1,LCL/LTD,B84,Off-Peak,667,726,0.918732782
2015-01-01,Brooklyn,1,LCL/LTD,B84,Peak,304,373,0.815013405
2015-01-01,Brooklyn,1,LCL/LTD,B9,Off-Peak,13099,15845,0.826696119
2015-01-01,Brooklyn,1,LCL/LTD,B9,Peak,6054,8347,0.725290524
2015-01-01,Brooklyn,2,LCL/LTD,B1,Off-Peak,6146,7813,0.786637655
2015-01-01,Brooklyn,2,LCL/LTD,B1,Peak,2519,3258,0.773173726
2015-01-01,Brooklyn,2,LCL/LTD,B100,Off-Peak,772,867,0.890426759
2015-01-01,Brooklyn,2,LCL/LTD,B100,Peak,348,422,0.82464455
2015-01-01,Brooklyn,2,LCL/LTD,B103,Off-Peak,5040,6739,0.747885443
2015-01-01,Brooklyn,2,LCL/LTD,B103,Peak,1977,2720,0.726838235
2015-01-01,Brooklyn,2,LCL/LTD,B11,Off-Peak,4335,5569,0.778416233
2015-01-01,Brooklyn,2,LCL/LTD,B11,Peak,1595,2235,0.713646532
2015-01-01,Brooklyn,2,LCL/LTD,B12,Off-Peak,5534,7627,0.725580176
2015-01-01,Brooklyn,2,LCL/LTD,B12,Peak,2181,2936,0.742847411
2015-01-01,Brooklyn,2,LCL/LTD,B13,Off-Peak,3792,4830,0.785093168
2015-01-01,Brooklyn,2,LCL/LTD,B13,Peak,1430,1911,0.74829932
2015-01-01,Brooklyn,2,LCL/LTD,B14,Off-Peak,2978,4732,0.629332206
2015-01-01,Brooklyn,2,LCL/LTD,B14,Peak,1092,1767,0.617996604
2015-01-01,Brooklyn,2,LCL/LTD,B15,Off-Peak,9058,14383,0.629771258
2015-01-01,Brooklyn,2,LCL/LTD,B15,Peak,3012,4772,0.631181894
2015-01-01,Brooklyn,2,LCL/LTD,B16,Off-Peak,4585,6076,0.754608295
